ChoiceListName,ChoiceValue,LabelEn,LabelSw,ZoneValue,RegionValue,DistrictValue,WardValue,CropNameValue,TechnologyValue
Gender,1,Male,Mme,,,,,,
Gender,2,Female,Mke,,,,,,
Education_Level,1,None,Hakuna,,,,,,
Education_Level,2,Primary,Elimu ya Msingi,,,,,,
Education_Level,3,Secondary,Elimu ya Sekondari,,,,,,
Education_Level,4,College,Chuo,,,,,,
Education_Level,5,University,Chuo Kikuu,,,,,,
Zone,1,1. Central Zone,1. Central Zone,,,,,,
Zone,2,2. Coastal Zone,2. Coastal Zone,,,,,,
Zone,3,3. Dar Zone,3. Dar Zone,,,,,,
Zone,4,4. Highland Zone,4. Highland Zone,,,,,,
Zone,5,5. Lake Zone,5. Lake Zone,,,,,,
Zone,6,6. Northern Zone,6. Northern Zone,,,,,,
Zone,7,7. Southern Zone,7. Southern Zone,,,,,,
Zone,8,"8. Western Zone""","8. Western Zone""",,,,,,
Age_Group,1,18–35,18–35,,,,,,
Age_Group,2,36–60,36–60,,,,,,
Age_Group,3,>60,>60,,,,,,
Yes_No,1,Yes,Ndio,,,,,,
Yes_No,2,No,Hapana,,,,,,
crop_name,1.1,1.1. Maize (Mahindi),1.1. Maize (Mahindi),,,,,,
crop_name,1.2,1.2. Paddy (Mpunga),1.2. Paddy (Mpunga),,,,,,
crop_name,1.3,1.3. Rice (Mchele),1.3. Rice (Mchele),,,,,,
crop_name,1.4,1.4. Wheat (Ngano),1.4. Wheat (Ngano),,,,,,
crop_name,1.5,1.5. Millet (Uwele),1.5. Millet (Uwele),,,,,,
crop_name,1.6,1.6. Finger Millet (Mwere/ ulezi),1.6. Finger Millet (Mwere/ ulezi),,,,,,
crop_name,1.7,1.7. Pearl Millet (Uwele wa lulu),1.7. Pearl Millet (Uwele wa lulu),,,,,,
crop_name,1.8,1.8. Barley (Shairi),1.8. Barley (Shairi),,,,,,
crop_name,1.9,1.9. Sorghum (Mtama),1.9. Sorghum (Mtama),,,,,,
crop_name,1.10,1.10. Oats (Shayiri pori),1.10. Oats (Shayiri pori),,,,,,
crop_name,2.1,2.1 . Banana (Ndizi),2.1 . Banana (Ndizi),,,,,,
crop_name,3.1,3.1. Beans (Common) (Maharage),3.1. Beans (Common) (Maharage),,,,,,
crop_name,3.2,3. 2.  Pigeon Pea (Mbaazi),3. 2.  Pigeon Pea (Mbaazi),,,,,,
crop_name,3.3,3.3. Cowpea (Kunde),3.3. Cowpea (Kunde),,,,,,
crop_name,3.4,3. 4. Green Grams (Mung) (Choroko),3. 4. Green Grams (Mung) (Choroko),,,,,,
crop_name,3.5,3.5. Lentils (Dengu),3.5. Lentils (Dengu),,,,,,
crop_name,3.6,3.6. Chickpeas (Njegere),3.6. Chickpeas (Njegere),,,,,,
crop_name,3.7,3. 7. Amaranth Seed (Mbegu za mchicha),3. 7. Amaranth Seed (Mbegu za mchicha),,,,,,
crop_name,4.1,4. 1. Avocado (Parachichi),4. 1. Avocado (Parachichi),,,,,,
crop_name,5.1,5.1. Cassava (Muhogo),5.1. Cassava (Muhogo),,,,,,
crop_name,5.2,5.2. Sweet Potato (Viazi vitamu),5.2. Sweet Potato (Viazi vitamu),,,,,,
crop_name,5.3,5. 3. Yam (White Yam) (Viazi vikuu),5. 3. Yam (White Yam) (Viazi vikuu),,,,,,
crop_name,5.4,5. 4. Taro (Cocoyam) (Magimbi),5. 4. Taro (Cocoyam) (Magimbi),,,,,,
crop_name,5.5,5.5. Cocoyam (Taro) (Magimbi),5.5. Cocoyam (Taro) (Magimbi),,,,,,
crop_name,5.6,5. 6. Arrowroot (Nduma),5. 6. Arrowroot (Nduma),,,,,,
crop_name,6.1,6.1. Irish Potato (Viazi mviringo),6.1. Irish Potato (Viazi mviringo),,,,,,
crop_name,7.1,7.1. Sunflower (Alizeti),7.1. Sunflower (Alizeti),,,,,,
crop_name,8.1,8.1 Groundnut (Peanut) (Karanga),8.1 Groundnut (Peanut) (Karanga),,,,,,
crop_name,9.1,9.1. Palm Oil (small holder) (Mawese -rafiki mazingira)),9.1. Palm Oil (small holder) (Mawese -rafiki mazingira)),,,,,,
crop_name,9.2,9.2. Sesame/Simsim (Ufuta),9.2. Sesame/Simsim (Ufuta),,,,,,
crop_name,9.3,9.3. Cottonseed (Mbegu za Pamba),9.3. Cottonseed (Mbegu za Pamba),,,,,,
crop_name,10.1,10.1. Tomato (Nyanya),10.1. Tomato (Nyanya),,,,,,
crop_name,10.2,10.2. Pumpkin (Maboga),10.2. Pumpkin (Maboga),,,,,,
crop_name,10.3,10.3. Squash (Boga),10.3. Squash (Boga),,,,,,
crop_name,10.4,10.4. Watermelon (Tikiti maji),10.4. Watermelon (Tikiti maji),,,,,,
crop_name,10.5,10.5. Bell Pepper (Pilipili hoho),10.5. Bell Pepper (Pilipili hoho),,,,,,
crop_name,10.6,10.6. Cucumber (Tango),10.6. Cucumber (Tango),,,,,,
crop_name,10.7,10.7. Eggplant (Bilinganya),10.7. Eggplant (Bilinganya),,,,,,
crop_name,10.8,10.8. Spinach (Spinachi),10.8. Spinach (Spinachi),,,,,,
crop_name,10.9,10.9. Okra (Bamia),10.9. Okra (Bamia),,,,,,
crop_name,10.10,10.10. Peppers (Pilipili),10.10. Peppers (Pilipili),,,,,,
crop_name,11.1,11.1. Chili Pepper (Pilipili kali),11.1. Chili Pepper (Pilipili kali),,,,,,
crop_name,12.1,12.1. Soybean (Soya),12.1. Soybean (Soya),,,,,,
crop_name,13.1,13.1. Apple (Tofaa),13.1. Apple (Tofaa),,,,,,
crop_name,13.2,13.2. Custard Apple (Tomoko),13.2. Custard Apple (Tomoko),,,,,,
crop_name,13.3,13.3. Peach (Furis/Pindigesi),13.3. Peach (Furis/Pindigesi),,,,,,
crop_name,13.4,13.4. Pear (Peazi),13.4. Pear (Peazi),,,,,,
crop_name,13.5,13.5. Plum (Pera ya Ulaya),13.5. Plum (Pera ya Ulaya),,,,,,
crop_name,13.6,13.6. Soursop (Graviola) (Mtopetope),13.6. Soursop (Graviola) (Mtopetope),,,,,,
crop_name,13.7,13.7. Strawberry (Stroberi),13.7. Strawberry (Stroberi),,,,,,
crop_name,14.1,14.1. Lime (Ndimu),14.1. Lime (Ndimu),,,,,,
crop_name,14.2,14.2. Grapefruit (Balungi),14.2. Grapefruit (Balungi),,,,,,
crop_name,14.3,14.3. Lemon (Limao),14.3. Lemon (Limao),,,,,,
crop_name,14.4,14.4. Orange (Chungwa),14.4. Orange (Chungwa),,,,,,
crop_name,14.5,14.5. Tangerine (Chenza),14.5. Tangerine (Chenza),,,,,,
crop_name,15.1,15.1.  Passion Fruit (pasheni/Karakara),15.1.  Passion Fruit (pasheni/Karakara),,,,,,
crop_name,15.2,15.2. Guavas (Pera),15.2. Guavas (Pera),,,,,,
crop_name,15.3,15.3. Pineapple (Nanasi),15.3. Pineapple (Nanasi),,,,,,
crop_name,15.4,15.4. Coconut (Nazi),15.4. Coconut (Nazi),,,,,,
crop_name,15.5,15.5. Jackfruit (Fenesi),15.5. Jackfruit (Fenesi),,,,,,
